mechanic_id,name,specialization,phone_number
1,Carol Young,Tires,(103)307-2051x89254
2,Lisa Barrett,Transmission,001-677-080-8526x840
3,Philip Lloyd,Tires,421.573.6275
4,Joanna Cole,Engine,544-803-2756
5,Jacqueline Hoover,Electrical,165-948-4996
6,Robert Gaines,Engine,059-324-8872
7,Christopher Richardson,Transmission,994-984-9146x7833
8,Lisa Reid,Brakes,9000217994
9,Donald Nelson,Engine,+1-574-576-1156x67429
10,Dennis Clark,Transmission,+1-679-870-4557
11,Rachael Davis,Engine,908.163.4761x26760
12,Eric Spears,Engine,012-860-0029x26419
13,Jennifer Odonnell,Brakes,280.667.7346
14,Joseph Aguilar,Tires,578.821.4344x3488
15,Justin Rivera,Brakes,(982)818-7277x00244
16,Tracy Bowman,Transmission,(220)910-1825x3998
17,Joshua Wright,Electrical,+1-637-664-3078x101
18,Deborah Johnson,Transmission,+1-850-737-1657x83581
19,Dale Santos,Electrical,488-738-7735x137
20,Melanie Erickson,Tires,8330139447
21,Dana Jones,Electrical,+1-239-006-1532x551
22,Angel Arnold,Engine,(795)235-6805
23,Rebecca Reed,Electrical,195-225-0985x494
24,Bill Mckay,Engine,826-181-1940
25,Eric Mills,Tires,(323)782-2232x651
26,Daniel Barton,Brakes,(470)843-9368
27,Alexis Barker,Tires,001-516-239-5770x8450
28,Kevin Johnson,Transmission,731-258-4505
29,Christopher Cook,Tires,001-374-316-6234x696
30,Brandy Miller,Electrical,958-227-4120x139
31,Marc Lee,Brakes,541-411-2212x203
32,Daniel Adams,Tires,589.083.2677x39538
33,Gina Ward,Tires,772.792.8278x4057
34,Carla Brennan,Electrical,250-643-1139x456
35,Kevin Johnson,Brakes,(241)588-0936x107
36,Alison Clark,Engine,228-234-8257
37,Steven Camacho,Tires,1688145556
38,Jennifer Hawkins,Tires,+1-602-053-8242x9438
39,Erik Lambert,Engine,200-617-5316x3426
40,Cristian Mullen,Engine,824.693.3357
41,Brett Jenkins,Brakes,+1-540-371-2541x88151
42,Sharon Richard,Electrical,(894)700-7982x59923
43,Krystal Rice,Electrical,987.642.8888x482
44,Steven Mitchell,Engine,680-081-8895x0863
45,William Villanueva,Brakes,900-758-8887
46,Desiree Day,Tires,001-230-074-7605x5626
47,Andrea Jones,Engine,+1-764-353-3587x5659
48,Alan Murray,Transmission,+1-982-060-6371x342
49,Jeffrey Harris,Brakes,1098897118
50,Christopher Knapp,Transmission,(500)469-1404x204
51,Jeffery Lindsey,Electrical,+1-075-633-1993
52,Amy Mitchell,Engine,729.102.8982
53,Mrs. Tonya Wilson,Tires,2387654206
54,Larry Johnson,Electrical,562.859.7114x1161
55,Kelly Parsons,Brakes,(465)967-6708x066
56,David Robertson,Engine,001-121-783-7282x035
57,Stefanie Anderson,Engine,(358)736-9368
58,Jeffrey Woodard,Electrical,544.012.4745x65459
59,Steven Bush,Tires,001-233-946-5846x03151
60,Cristian Lawson,Electrical,+1-338-767-3650x1095
61,Karl Rubio,Electrical,(980)129-2637
62,Brandi Griffin,Brakes,3922970664
63,Craig Horton,Electrical,958-060-0078
64,Donna Walters,Transmission,308-233-9156x34422
65,Amanda Williams,Electrical,568.569.7677x4889
66,David Decker,Engine,8582857255
67,Allison Cannon,Tires,(464)945-8192x320
68,Anthony Harvey,Tires,+1-508-461-2153x156
69,Shelia May,Tires,(494)065-0231
70,Mark Anderson,Tires,001-787-366-3952
71,Deborah Washington,Transmission,(581)160-1846x3013
72,Cathy Middleton,Electrical,001-110-925-9794
73,Kelli Sloan,Brakes,750-374-1115
74,Alejandra Wade,Tires,324-514-6961
75,Louis Ryan,Brakes,378.562.8385x67332
76,Tiffany Davila,Transmission,5757209807
77,Jaclyn Booker,Tires,(900)442-9179
78,Robert Williamson,Transmission,001-404-979-0786x327
79,Jessica Lewis,Tires,+1-762-049-3885x06112
80,Jeremy Bass,Transmission,344.432.3207
81,Allison Brown,Brakes,682-655-2336
82,Matthew Boyd,Electrical,001-213-038-6085x0106
83,Barry Williams,Electrical,001-455-176-9214x98571
84,Jonathan Smith,Brakes,(638)431-5145x62651
85,Justin Higgins,Electrical,158-753-5101
86,Brandon Cooper,Brakes,952-276-0946x074
87,Calvin Stokes,Brakes,8894272066
88,Joanne Mahoney,Tires,513.266.6507x911
89,Scott Downs,Electrical,(774)876-5866
90,Allison Nolan,Engine,457.826.6485
91,Alexander Wells,Engine,+1-323-827-8502x28371
92,Nicole Cooke,Brakes,(476)203-3972x280
93,Casey Dougherty,Tires,+1-858-990-9992x2815
94,Isabella Randall,Engine,001-781-214-4551
95,Paul Bowman,Brakes,8520799069
96,Lori Conner,Brakes,+1-406-283-7103
97,Brenda Kelly,Brakes,001-481-221-6450x6576
98,David Phelps,Tires,(685)104-7880x036
99,Grant Cross,Transmission,880.990.1999x905
100,John Johnson,Brakes,9418487812
101,Maria Hall,Transmission,+1-208-601-5677x857
102,Michael Palmer,Brakes,(341)787-5664x991
103,Andrew Ross,Electrical,+1-318-800-3134x852
104,Eugene Holt,Brakes,448.813.3087x9388
105,Kelly Franco,Engine,903.728.2130x801
106,Cole Edwards,Brakes,412.096.3465x549
107,Autumn Wells,Tires,001-038-763-7476x79804
108,Michelle Smith,Transmission,001-520-634-3392
109,Christina Price,Electrical,7563930914
110,Pamela Sexton,Brakes,974-724-7102
111,Marie Stevens,Electrical,764.090.4080
112,Patricia Wallace,Brakes,001-996-382-3691x5132
113,Jordan Murphy,Transmission,001-551-331-7255
114,Mary Palmer,Brakes,(130)922-6545
115,Veronica Hernandez,Electrical,+1-255-787-9624x46811
116,Christopher Jones,Engine,970-253-2988
117,Paul Abbott,Engine,(451)717-8757
118,Madison Wise,Brakes,+1-482-046-4087
119,Amanda Marshall,Brakes,+1-452-439-4462x0755
120,Joyce Morrison,Brakes,387-301-3919x1297
121,Nicole Benton,Transmission,(487)908-5269
122,Carol West,Tires,289-370-2779x720
123,Melissa Spencer,Brakes,784.037.2167
124,Elizabeth Cunningham,Brakes,184.087.0607
125,Dr. Sherri Gonzales,Tires,001-383-246-2307x4829
126,Jonathan Pena,Transmission,5276715348
127,Michael Smith,Engine,001-732-328-5145x9326
128,Joseph Williams,Transmission,(098)369-0400x0575
129,Natasha Duarte,Tires,001-712-141-8031x327
130,Elizabeth Benjamin,Tires,710.519.6805x6626
131,Philip Edwards,Transmission,(403)914-7324x2793
132,Eric Cruz,Electrical,9886753278
133,James Stuart,Tires,226.770.7281x789
134,Adriana Cruz,Transmission,360.992.3571x3421
135,Donna Sandoval,Transmission,+1-526-530-7077x580
136,Maria Mosley,Engine,(233)772-5882
137,Sergio Cruz,Electrical,(443)663-0377x341
138,Adam Clark,Electrical,(317)596-1142x27394
139,Mark Ferguson,Transmission,2025978358
140,Jared Jackson,Engine,312.814.8439x0502
141,Pamela Yoder,Brakes,702-866-2747x21110
142,Stacey Williams,Brakes,+1-230-205-5552x592
143,Sharon Russell,Transmission,(659)315-1763x99089
144,Johnny Shelton,Tires,6057765715
145,Leslie Johnson,Brakes,0766478740
146,Bobby Mercer,Transmission,001-725-353-8628x3469
147,Regina Mcgee,Tires,001-031-756-4975x459
148,Kevin Brady,Engine,465-336-4430x459
149,Philip Potts,Brakes,001-357-676-4057x19905
150,Christopher Franco,Brakes,001-941-030-8050x121
151,April Franco,Engine,+1-060-888-1086x85649
152,Alan Greer,Electrical,5933204758
153,Rachael Perkins,Engine,+1-984-621-4286x1063
154,Charles Bennett,Transmission,8129813124
155,Laura Gray,Tires,9977556247
156,Margaret Turner,Electrical,001-316-047-9998
157,Jamie Nelson,Engine,644.081.5276x46344
158,Jessica Hawkins,Tires,283.935.4543
159,Dr. Stacy Kemp,Transmission,959.666.0887
160,Shane Mercer,Brakes,001-283-438-2425x1692
161,Jack Smith,Engine,1629472085
162,Mary Thomas,Transmission,8500668657
163,Brittany Flores,Tires,+1-409-575-4137x523
164,Erin Tran,Electrical,+1-154-129-3450x233
165,Patrick Kelly,Brakes,762.496.1932x75853
166,Matthew Bush,Engine,(295)117-4513x1166
167,Alison Chandler,Transmission,112.885.0175
168,Matthew Thomas,Tires,(715)027-9081x601
