customer_id,name,email,phone,address,join_date
C00001,Julie Hicks,katiebaird@hotmail.com,558-170-8335x14,"Unit 8656 Box 7385, DPO AA 97858",2021-06-20
C00002,John Tucker,arellanobrian@yahoo.com,966-390-0045x39,"012 Daniel Ridge, West Natalieborough, DE 47139",2024-09-15
C00003,Brandon Ruiz,austinalyssa@martin.com,4886725140,"60402 Crane Station Apt. 719, Ashleymouth, NY 31442",2024-10-09
C00004,David Brown,bankstroy@rivera.biz,+1-961-709-9873,"3389 Smith Skyway, West Glennberg, NV 87692",2024-05-14
C00005,Richard Watts,ejames@gmail.com,668-813-0384,"587 Perry Way Suite 436, East Rebecca, MD 92969",2021-10-01
C00006,Dennis Wilson MD,codykelly@hotmail.com,(912)815-0164x5,"467 Hunt Station, South Cristinabury, DC 16982",2024-12-06
C00007,Shawn Berry,victor24@yahoo.com,(573)125-3612,"1141 Clark Hill Suite 778, Edwardmouth, NH 79367",2020-07-12
C00008,Kimberly Yang,michaelholland@morgan.net,698.762.2957x94,"62017 Emily Creek Apt. 423, Lake Karenland, IN 95142",2022-12-24
C00009,Linda Scott,suarezbruce@hotmail.com,508-098-9717x33,"60346 Sharon Way Apt. 789, East Johnfort, SC 78057",2021-03-28
C00010,Gina Richards,cody08@smith.com,001-571-604-261,"69969 Jennifer Plaza Suite 001, Simonmouth, ND 94203",2025-04-08
C00011,Sarah Wheeler,michele23@oliver.com,4415264458,"19740 William Drive, North Richard, IA 04168",2020-06-04
C00012,Austin Booker,carolberry@mccarthy-hobbs.com,001-296-945-419,"81810 Sierra Roads, West Bruceburgh, IA 73225",2020-05-14
C00013,Bruce Weiss,cjohnson@beasley.com,987-620-9383x73,"4697 Houston Roads, Christinefurt, TN 52342",2021-11-21
C00014,Monica Wright,baileyhenry@hotmail.com,(524)276-0741x4,"2180 Beasley Junction Suite 486, West Amy, NY 29629",2020-10-15
C00015,Crystal Rice,jimenezcarrie@mora.net,2613534255,"60810 Cardenas Way Suite 276, New Joyside, ND 01779",2022-11-09
C00016,Jackson Le,qraymond@hotmail.com,618-326-2138x41,"4341 Martinez Grove, West Jennifer, KS 67605",2025-03-10
C00017,Laura Hall,john23@lopez-powell.com,9542527505,"539 Khan Flat Apt. 859, West Christina, KY 61506",2021-05-06
C00018,Kimberly Vazquez,qcochran@webster.com,(880)848-2072x7,"57730 Hall Landing Suite 619, New Brianbury, ME 21602",2021-02-22
C00019,Sarah Marshall DVM,psherman@gmail.com,340.293.7813,"772 White Row Suite 622, Masonview, PA 12447",2023-06-07
C00020,Robert Russell,derek34@hotmail.com,(672)733-2627,"5372 Mejia Camp Apt. 929, Chenstad, ND 01274",2024-05-06
C00021,April Gray,fgraham@yahoo.com,674.695.8819x46,"7188 Matthew Island, East Sydney, UT 27503",2024-01-15
C00022,Vanessa Bright,jgarcia@lynch-torres.com,749.294.4993x13,"5916 Holden Fields, Chloechester, AR 80811",2021-04-05
C00023,Donna Gonzales,lopezchristopher@adkins.com,572.668.4905x36,"89391 Kathryn Walk Apt. 811, North Annton, CO 31129",2022-05-15
C00024,Ryan Lane,williamskevin@bell.com,+1-832-031-6131,"2063 Simpson Shoals, Johnview, KS 92759",2023-10-24
C00025,Anthony Alexander,williammaldonado@gmail.com,340-388-3331x51,"Unit 9021 Box 7720, DPO AA 37509",2024-01-03
C00026,Stacey Torres,bryantjacob@joseph.com,(648)023-6280x1,"27643 Daniel Falls Apt. 837, Davidside, VT 92460",2024-09-12
C00027,Darrell Henry,ashleyaustin@gmail.com,953.115.4397x81,"48595 Alison Parks Suite 261, Escobarfort, CA 94911",2022-07-27
C00028,Wanda Morgan,rachelwilson@yahoo.com,159-106-6086x23,"754 Christopher Hill Suite 629, Riosshire, KS 82401",2025-02-16
C00029,William Steele,donnaherman@joyce-benitez.com,(046)026-2247x8,"1710 Holly Mill, Donaldsonbury, WV 02457",2022-02-15
C00030,Alex Madden,jwilliams@hotmail.com,(518)261-3506,"57304 Hernandez Corner, East Jonathanborough, NM 41600",2021-11-18
C00031,James Tapia,nicole69@shields.com,(108)401-5799,"6766 Cantu Hills Apt. 098, Grayport, AR 58099",2022-01-20
C00032,Jason Simpson,perryrobert@yahoo.com,062.981.0997x52,"81442 Anthony Spring, New Jessicaland, NJ 38200",2020-12-31
