mechanic_id,name,specialization,phone_number
M00001,Ellen Wolf,Tires,+1-654-790-9564
M00002,Nancy Williams,Suspension,001-319-044-9405
M00003,Brittney Evans,Engine,(001)034-3931x415
M00004,Russell Harris,Suspension,001-810-413-4474
M00005,Christy Thompson,Brakes,(833)298-8776x5427
M00006,Melinda Johnson,Transmission,+1-551-334-2385
M00007,Christine Sanchez,Engine,+1-311-410-0638x2818
M00008,Colton Lopez,Tires,936-358-6126
M00009,Richard Becker,Transmission,(816)780-4463x40714
M00010,Charles Brown,Engine,014-974-8916
M00011,Matthew Welch,Transmission,+1-760-535-3909x086
M00012,Phillip Kidd,Brakes,+1-166-933-4988x4368
M00013,Tanner Chavez,AC,563.697.6493x9996
M00014,James Austin,Electrical,001-788-214-3910
M00015,Joseph Stewart,Electrical,890.054.4720
M00016,Heather Martin,Transmission,+1-374-974-2222x8929
M00017,Jeffrey Stewart,Tires,5828428390
M00018,Paul Peters,AC,346.623.8729
M00019,Steven Mckee,Suspension,050-038-2776
M00020,Daniel Leonard,AC,133.749.5698
M00021,Jennifer Norman,Brakes,(972)006-0517x2780
M00022,Cameron Mason,Brakes,001-429-235-1443x438
M00023,Jonathan Chapman,Electrical,076.048.3623x097
M00024,Paul Anderson,Tires,978.543.2690
M00025,John Norman,AC,001-245-911-5033x554
M00026,Monica Gonzales,Transmission,818.825.6254x0254
M00027,April Cooke,Tires,+1-834-868-1278
M00028,Ruben Cruz,Engine,7559997163
M00029,Lauren Tapia,Suspension,8215031509
M00030,Charles Lee,Transmission,+1-524-894-5226x676
M00031,Robert Callahan,Brakes,+1-660-958-9855x026
M00032,Rebecca Vaughn,Suspension,001-870-762-0125x958
M00033,Courtney Bell,Suspension,+1-071-282-6113x6421
M00034,Kelly Garrett,Suspension,(197)609-1595
M00035,Justin Martinez III,AC,127.757.7945
M00036,Karen Dean,AC,180.319.9212
M00037,Kimberly Henderson,AC,2953952806
M00038,James Frederick,Transmission,388-564-5946x7301
M00039,Craig Martin,Electrical,5611785296
M00040,Hailey Thomas,Tires,(436)911-8886x36029
M00041,Susan George,AC,+1-806-296-7211x9289
M00042,Donald Gonzalez,Engine,+1-527-747-4849x6431
M00043,Robert Adams,Brakes,+1-135-011-7473x3739
M00044,Lindsay Johnson,Transmission,001-274-789-5693x132
M00045,Kevin Smith,AC,625.237.8821
M00046,Michael Ellis DDS,AC,2397299918
M00047,Stephanie Mendoza,Tires,001-806-958-9131x775
M00048,Marie Noble,Suspension,3832646704
M00049,Brittney Simpson,Brakes,+1-183-490-0666x9662
M00050,Kendra Wu,Transmission,206.426.0223x9414
M00051,Christopher Berg,Transmission,911.326.7300x8782
M00052,Joshua Phillips,Brakes,+1-744-738-3139x0160
M00053,John Olson,Electrical,058-187-3062
M00054,Nancy Bradley,AC,+1-721-304-5221x4510
M00055,Brandy Lee,Tires,001-301-279-9965x153
M00056,Christopher Harvey,Brakes,470-015-8981x62971
M00057,Debra Smith,Transmission,679-822-1944x976
M00058,Lindsay Taylor,Engine,228.010.2159
M00059,Brad Ballard,Tires,001-253-607-2067x371
M00060,Wendy Ryan,Transmission,001-835-108-8958x371
M00061,Raymond Griffith,Brakes,001-284-675-1852x567
M00062,Janet Good,Tires,+1-652-450-5907x795
M00063,Carrie Martin,Electrical,535.112.6556x0303
M00064,Michael Mcclure,Engine,001-576-924-9574x257
M00065,Dr. Gary Williams,Transmission,(101)683-4181
M00066,Scott Booth,Engine,+1-398-796-4401x7857
M00067,Ann Campos,Electrical,112.972.1762x08925
M00068,Barbara Davis,Brakes,(649)632-8959x8278
M00069,Patrick Schaefer,Tires,001-099-558-8614x492
M00070,Tiffany Hernandez,Engine,+1-652-155-4619x379
M00071,Carla Ruiz,Transmission,110.600.9461
M00072,Andrew Mccann,Electrical,423-659-9087x772
M00073,Angela Berry,Electrical,001-435-642-7550x751
M00074,Jessica Smith,Tires,+1-685-396-8274x9505
M00075,Angela Sullivan,Brakes,+1-125-092-7768x6910
M00076,Larry King,Suspension,2962408736
M00077,Lawrence Hawkins,Electrical,971-186-3142x0425
M00078,Jacob Hughes,Suspension,+1-894-970-0810x183
M00079,Anne Byrd,AC,992-507-8366
M00080,Bryan Cummings,Transmission,+1-796-622-2929x7150
M00081,Daniel Garrison,Tires,(932)657-3746
M00082,Logan Wall,Brakes,+1-120-669-4401x745
M00083,Gerald Baldwin,Brakes,001-824-012-4389
M00084,Elizabeth Hernandez,Electrical,001-602-129-8809x347
M00085,Ryan Turner,Engine,+1-394-615-5642
M00086,Patricia Torres,Brakes,(285)630-8818
M00087,Aaron Wilson,Brakes,(518)887-7509x8292
M00088,Kathleen Gardner,Suspension,(644)427-7028
M00089,Cynthia Turner,Suspension,(280)459-6100
M00090,Mario Lindsey,Electrical,001-236-727-2812
M00091,Juan Bridges,Tires,086-444-2545
M00092,Angela Jones,Brakes,436-313-9590x01235
M00093,James Clark,Transmission,1996265128
M00094,Michael Hill,Brakes,937.643.4981x9596
M00095,Sarah Kim,AC,001-659-100-9313x909
M00096,Tammy Small,Brakes,(528)620-2122
M00097,Susan Shepard,Electrical,+1-070-856-1353x172
M00098,Trevor Davis,Brakes,957.016.4407
M00099,Tyler Garcia,Engine,(528)828-6025
M00100,Jack Johnson,Transmission,001-357-781-4603x083
